,time,position
205,20.52052052052052,-2053.3496359222086
206,20.62062062062062,-2073.5289744198653
207,20.72072072072072,-2093.806509211915
208,20.82082082082082,-2114.1822402983566
209,20.92092092092092,-2134.6561676791907
210,21.02102102102102,-2155.2282913544177
211,21.12112112112112,-2175.8986113240367
212,21.22122122122122,-2196.6671275880485
213,21.32132132132132,-2217.533840146453
214,21.421421421421424,-2238.4987489992504
215,21.521521521521525,-2259.5618541464396
216,21.621621621621625,-2280.723155588021
217,21.721721721721725,-2301.9826533239957
218,21.821821821821825,-2323.340347354362
219,21.921921921921925,-2344.7962376791215
220,22.022022022022025,-2366.350324298273
221,22.122122122122125,-2388.002607211817
222,22.222222222222225,-2409.753086419754
223,22.322322322322325,-2431.601761922083
224,22.422422422422425,-2453.5486337188045
225,22.522522522522525,-2475.593701809919
226,22.622622622622625,-2497.7369661954253
227,22.722722722722725,-2519.9784268753247
228,22.822822822822825,-2542.318083849616
229,22.922922922922925,-2564.7559371183
230,23.023023023023026,-2587.291986681377
231,23.123123123123126,-2609.926232538846
232,23.223223223223226,-2632.6586746907074
233,23.323323323323326,-2655.4893131369618
234,23.423423423423426,-2678.418147877608
235,23.523523523523526,-2701.445178912647
236,23.623623623623626,-2724.5704062420787
237,23.723723723723726,-2747.7938298659024
238,23.823823823823826,-2771.1154497841194
239,23.923923923923926,-2794.5352659967284
240,24.024024024024026,-2818.0532785037294
241,24.124124124124126,-2841.6694873051233
242,24.224224224224226,-2865.38389240091
243,24.324324324324326,-2889.196493791089
244,24.424424424424426,-2913.1072914756605
245,24.524524524524526,-2937.1162854546246
246,24.624624624624627,-2961.223475727981
247,24.724724724724727,-2985.4288622957297
248,24.824824824824827,-3009.732445157871
249,24.924924924924927,-3034.1342243144054
250,25.025025025025027,-3058.6341997653317
251,25.125125125125127,-3083.2323715106504
252,25.225225225225227,-3107.9287395503616
253,25.325325325325327,-3132.7233038844656
254,25.425425425425427,-3157.616064512962
255,25.525525525525527,-3182.607021435851
256,25.625625625625627,-3207.6961746531324
257,25.725725725725727,-3232.883524164806
258,25.825825825825827,-3258.1690699708724
259,25.925925925925927,-3283.552812071331
260,26.026026026026027,-3309.0347504661827
